Best parameters: {'learning_rate': 1000, 'max_depth': 10, 'n_estimators': 2}
0.307 (+/-0.191) for {'learning_rate': 1000, 'max_depth': 36, 'n_estimators': 2}
0.307 (+/-0.191) for {'learning_rate': 1000, 'max_depth': 36, 'n_estimators': 4}
0.307 (+/-0.191) for {'learning_rate': 1000, 'max_depth': 36, 'n_estimators': 6}
0.307 (+/-0.191) for {'learning_rate': 1000, 'max_depth': 36, 'n_estimators': 8}
0.307 (+/-0.191) for {'learning_rate': 1000, 'max_depth': 36, 'n_estimators': 10}
0.306 (+/-0.103) for {'learning_rate': 10000, 'max_depth': 6, 'n_estimators': 1}
0.306 (+/-0.103) for {'learning_rate': 10000, 'max_depth': 6, 'n_estimators': 2}
0.306 (+/-0.103) for {'learning_rate': 10000, 'max_depth': 6, 'n_estimators': 4}
0.306 (+/-0.103) for {'learning_rate': 10000, 'max_depth': 6, 'n_estimators': 6}
0.306 (+/-0.103) for {'learning_rate': 10000, 'max_depth': 6, 'n_estimators': 8}
0.307 (+/-0.105) for {'learning_rate': 10000, 'max_depth': 6, 'n_estimators': 10}
0.320 (+/-0.143) for {'learning_rate': 10000, 'max_depth': 10, 'n_estimators': 1}
0.320 (+/-0.143) for {'learning_rate': 10000, 'max_depth': 10, 'n_estimators': 2}
0.320 (+/-0.143) for {'learning_rate': 10000, 'max_depth': 10, 'n_estimators': 4}
0.320 (+/-0.143) for {'learning_rate': 10000, 'max_depth': 10, 'n_estimators': 6}
0.320 (+/-0.143) for {'learning_rate': 10000, 'max_depth': 10, 'n_estimators': 8}
0.320 (+/-0.143) for {'learning_rate': 10000, 'max_depth': 10, 'n_estimators': 10}
0.301 (+/-0.179) for {'learning_rate': 10000, 'max_depth': 16, 'n_estimators': 1}
0.306 (+/-0.193) for {'learning_rate': 10000, 'max_depth': 16, 'n_estimators': 2}
0.306 (+/-0.193) for {'learning_rate': 10000, 'max_depth': 16, 'n_estimators': 4}
0.306 (+/-0.193) for {'learning_rate': 10000, 'max_depth': 16, 'n_estimators': 6}
0.306 (+/-0.193) for {'learning_rate': 10000, 'max_depth': 16, 'n_estimators': 8}
0.306 (+/-0.193) for {'learning_rate': 10000, 'max_depth': 16, 'n_estimators': 10}
0.302 (+/-0.177) for {'learning_rate': 10000, 'max_depth': 22, 'n_estimators': 1}
0.307 (+/-0.191) for {'learning_rate': 10000, 'max_depth': 22, 'n_estimators': 2}
0.307 (+/-0.191) for {'learning_rate': 10000, 'max_depth': 22, 'n_estimators': 4}
0.307 (+/-0.191) for {'learning_rate': 10000, 'max_depth': 22, 'n_estimators': 6}
0.307 (+/-0.191) for {'learning_rate': 10000, 'max_depth': 22, 'n_estimators': 8}
0.307 (+/-0.191) for {'learning_rate': 10000, 'max_depth': 22, 'n_estimators': 10}
0.302 (+/-0.177) for {'learning_rate': 10000, 'max_depth': 28, 'n_estimators': 1}
0.307 (+/-0.191) for {'learning_rate': 10000, 'max_depth': 28, 'n_estimators': 2}
0.307 (+/-0.191) for {'learning_rate': 10000, 'max_depth': 28, 'n_estimators': 4}
0.307 (+/-0.191) for {'learning_rate': 10000, 'max_depth': 28, 'n_estimators': 6}
0.307 (+/-0.191) for {'learning_rate': 10000, 'max_depth': 28, 'n_estimators': 8}
0.307 (+/-0.191) for {'learning_rate': 10000, 'max_depth': 28, 'n_estimators': 10}
0.302 (+/-0.177) for {'learning_rate': 10000, 'max_depth': 36, 'n_estimators': 1}
0.307 (+/-0.191) for {'learning_rate': 10000, 'max_depth': 36, 'n_estimators': 2}
0.307 (+/-0.191) for {'learning_rate': 10000, 'max_depth': 36, 'n_estimators': 4}
0.307 (+/-0.191) for {'learning_rate': 10000, 'max_depth': 36, 'n_estimators': 6}
0.307 (+/-0.191) for {'learning_rate': 10000, 'max_depth': 36, 'n_estimators': 8}
0.307 (+/-0.191) for {'learning_rate': 10000, 'max_depth': 36, 'n_estimators': 10}
0.306 (+/-0.103) for {'learning_rate': 100000, 'max_depth': 6, 'n_estimators': 1}
0.306 (+/-0.103) for {'learning_rate': 100000, 'max_depth': 6, 'n_estimators': 2}
0.306 (+/-0.103) for {'learning_rate': 100000, 'max_depth': 6, 'n_estimators': 4}
0.306 (+/-0.103) for {'learning_rate': 100000, 'max_depth': 6, 'n_estimators': 6}
0.306 (+/-0.103) for {'learning_rate': 100000, 'max_depth': 6, 'n_estimators': 8}
0.306 (+/-0.103) for {'learning_rate': 100000, 'max_depth': 6, 'n_estimators': 10}
0.320 (+/-0.143) for {'learning_rate': 100000, 'max_depth': 10, 'n_estimators': 1}
0.320 (+/-0.143) for {'learning_rate': 100000, 'max_depth': 10, 'n_estimators': 2}
0.320 (+/-0.143) for {'learning_rate': 100000, 'max_depth': 10, 'n_estimators': 4}
0.320 (+/-0.143) for {'learning_rate': 100000, 'max_depth': 10, 'n_estimators': 6}
0.320 (+/-0.143) for {'learning_rate': 100000, 'max_depth': 10, 'n_estimators': 8}
0.320 (+/-0.143) for {'learning_rate': 100000, 'max_depth': 10, 'n_estimators': 10}
0.301 (+/-0.179) for {'learning_rate': 100000, 'max_depth': 16, 'n_estimators': 1}
0.301 (+/-0.179) for {'learning_rate': 100000, 'max_depth': 16, 'n_estimators': 2}
0.301 (+/-0.179) for {'learning_rate': 100000, 'max_depth': 16, 'n_estimators': 4}
0.301 (+/-0.179) for {'learning_rate': 100000, 'max_depth': 16, 'n_estimators': 6}
0.301 (+/-0.179) for {'learning_rate': 100000, 'max_depth': 16, 'n_estimators': 8}
